"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",750,0,0.14,0.14,0.86,0,0.14
"all","Treat All",750,0.01,0.14,0.14,0.86,0,0.131313131313131
"all","Treat All",750,0.02,0.14,0.14,0.86,0,0.122448979591837
"all","Treat All",750,0.03,0.14,0.14,0.86,0,0.11340206185567
"all","Treat All",750,0.04,0.14,0.14,0.86,0,0.104166666666667
"all","Treat All",750,0.05,0.14,0.14,0.86,0,0.0947368421052632
"all","Treat All",750,0.06,0.14,0.14,0.86,0,0.0851063829787234
"all","Treat All",750,0.07,0.14,0.14,0.86,0,0.0752688172043011
"all","Treat All",750,0.08,0.14,0.14,0.86,0,0.0652173913043478
"all","Treat All",750,0.09,0.14,0.14,0.86,0,0.054945054945055
"all","Treat All",750,0.1,0.14,0.14,0.86,0,0.0444444444444445
"all","Treat All",750,0.11,0.14,0.14,0.86,0,0.0337078651685393
"all","Treat All",750,0.12,0.14,0.14,0.86,0,0.0227272727272727
"all","Treat All",750,0.13,0.14,0.14,0.86,0,0.0114942528735632
"all","Treat All",750,0.14,0.14,0.14,0.86,0,0
"all","Treat All",750,0.15,0.14,0.14,0.86,0,-0.0117647058823529
"all","Treat All",750,0.16,0.14,0.14,0.86,0,-0.0238095238095238
"all","Treat All",750,0.17,0.14,0.14,0.86,0,-0.036144578313253
"all","Treat All",750,0.18,0.14,0.14,0.86,0,-0.048780487804878
"all","Treat All",750,0.19,0.14,0.14,0.86,0,-0.0617283950617284
"all","Treat All",750,0.2,0.14,0.14,0.86,0,-0.075
"all","Treat All",750,0.21,0.14,0.14,0.86,0,-0.0886075949367088
"all","Treat All",750,0.22,0.14,0.14,0.86,0,-0.102564102564103
"all","Treat All",750,0.23,0.14,0.14,0.86,0,-0.116883116883117
"all","Treat All",750,0.24,0.14,0.14,0.86,0,-0.131578947368421
"all","Treat All",750,0.25,0.14,0.14,0.86,0,-0.146666666666667
"all","Treat All",750,0.26,0.14,0.14,0.86,0,-0.162162162162162
"all","Treat All",750,0.27,0.14,0.14,0.86,0,-0.178082191780822
"all","Treat All",750,0.28,0.14,0.14,0.86,0,-0.194444444444444
"all","Treat All",750,0.29,0.14,0.14,0.86,0,-0.211267605633803
"all","Treat All",750,0.3,0.14,0.14,0.86,0,-0.228571428571429
"all","Treat All",750,0.31,0.14,0.14,0.86,0,-0.246376811594203
"all","Treat All",750,0.32,0.14,0.14,0.86,0,-0.264705882352941
"all","Treat All",750,0.33,0.14,0.14,0.86,0,-0.283582089552239
"all","Treat All",750,0.34,0.14,0.14,0.86,0,-0.303030303030303
"all","Treat All",750,0.35,0.14,0.14,0.86,0,-0.323076923076923
"all","Treat All",750,0.36,0.14,0.14,0.86,0,-0.34375
"all","Treat All",750,0.37,0.14,0.14,0.86,0,-0.365079365079365
"all","Treat All",750,0.38,0.14,0.14,0.86,0,-0.387096774193548
"all","Treat All",750,0.39,0.14,0.14,0.86,0,-0.409836065573771
"all","Treat All",750,0.4,0.14,0.14,0.86,0,-0.433333333333333
"all","Treat All",750,0.41,0.14,0.14,0.86,0,-0.457627118644068
"all","Treat All",750,0.42,0.14,0.14,0.86,0,-0.482758620689655
"all","Treat All",750,0.43,0.14,0.14,0.86,0,-0.508771929824561
"all","Treat All",750,0.44,0.14,0.14,0.86,0,-0.535714285714286
"all","Treat All",750,0.45,0.14,0.14,0.86,0,-0.563636363636364
"all","Treat All",750,0.46,0.14,0.14,0.86,0,-0.592592592592593
"all","Treat All",750,0.47,0.14,0.14,0.86,0,-0.622641509433962
"all","Treat All",750,0.48,0.14,0.14,0.86,0,-0.653846153846154
"all","Treat All",750,0.49,0.14,0.14,0.86,0,-0.686274509803921
"all","Treat All",750,0.5,0.14,0.14,0.86,0,-0.72
"none","Treat None",750,0,0.14,0,0,0,0
"none","Treat None",750,0.01,0.14,0,0,0,0
"none","Treat None",750,0.02,0.14,0,0,0,0
"none","Treat None",750,0.03,0.14,0,0,0,0
"none","Treat None",750,0.04,0.14,0,0,0,0
"none","Treat None",750,0.05,0.14,0,0,0,0
"none","Treat None",750,0.06,0.14,0,0,0,0
"none","Treat None",750,0.07,0.14,0,0,0,0
"none","Treat None",750,0.08,0.14,0,0,0,0
"none","Treat None",750,0.09,0.14,0,0,0,0
"none","Treat None",750,0.1,0.14,0,0,0,0
"none","Treat None",750,0.11,0.14,0,0,0,0
"none","Treat None",750,0.12,0.14,0,0,0,0
"none","Treat None",750,0.13,0.14,0,0,0,0
"none","Treat None",750,0.14,0.14,0,0,0,0
"none","Treat None",750,0.15,0.14,0,0,0,0
"none","Treat None",750,0.16,0.14,0,0,0,0
"none","Treat None",750,0.17,0.14,0,0,0,0
"none","Treat None",750,0.18,0.14,0,0,0,0
"none","Treat None",750,0.19,0.14,0,0,0,0
"none","Treat None",750,0.2,0.14,0,0,0,0
"none","Treat None",750,0.21,0.14,0,0,0,0
"none","Treat None",750,0.22,0.14,0,0,0,0
"none","Treat None",750,0.23,0.14,0,0,0,0
"none","Treat None",750,0.24,0.14,0,0,0,0
"none","Treat None",750,0.25,0.14,0,0,0,0
"none","Treat None",750,0.26,0.14,0,0,0,0
"none","Treat None",750,0.27,0.14,0,0,0,0
"none","Treat None",750,0.28,0.14,0,0,0,0
"none","Treat None",750,0.29,0.14,0,0,0,0
"none","Treat None",750,0.3,0.14,0,0,0,0
"none","Treat None",750,0.31,0.14,0,0,0,0
"none","Treat None",750,0.32,0.14,0,0,0,0
"none","Treat None",750,0.33,0.14,0,0,0,0
"none","Treat None",750,0.34,0.14,0,0,0,0
"none","Treat None",750,0.35,0.14,0,0,0,0
"none","Treat None",750,0.36,0.14,0,0,0,0
"none","Treat None",750,0.37,0.14,0,0,0,0
"none","Treat None",750,0.38,0.14,0,0,0,0
"none","Treat None",750,0.39,0.14,0,0,0,0
"none","Treat None",750,0.4,0.14,0,0,0,0
"none","Treat None",750,0.41,0.14,0,0,0,0
"none","Treat None",750,0.42,0.14,0,0,0,0
"none","Treat None",750,0.43,0.14,0,0,0,0
"none","Treat None",750,0.44,0.14,0,0,0,0
"none","Treat None",750,0.45,0.14,0,0,0,0
"none","Treat None",750,0.46,0.14,0,0,0,0
"none","Treat None",750,0.47,0.14,0,0,0,0
"none","Treat None",750,0.48,0.14,0,0,0,0
"none","Treat None",750,0.49,0.14,0,0,0,0
"none","Treat None",750,0.5,0.14,0,0,0,0
"family_pred","family_pred",750,0,0.14,0.14,0.86,0,0.14
"family_pred","family_pred",750,0.01,0.14,0.14,0.86,0,0.131313131313131
"family_pred","family_pred",750,0.02,0.14,0.14,0.86,0,0.122448979591837
"family_pred","family_pred",750,0.03,0.14,0.14,0.86,0,0.11340206185567
"family_pred","family_pred",750,0.04,0.14,0.14,0.86,0,0.104166666666667
"family_pred","family_pred",750,0.05,0.14,0.14,0.86,0,0.0947368421052632
"family_pred","family_pred",750,0.06,0.14,0.14,0.86,0,0.0851063829787234
"family_pred","family_pred",750,0.07,0.14,0.14,0.86,0,0.0752688172043011
"family_pred","family_pred",750,0.08,0.14,0.14,0.86,0,0.0652173913043478
"family_pred","family_pred",750,0.09,0.14,0.14,0.86,0,0.054945054945055
"family_pred","family_pred",750,0.1,0.14,0.14,0.86,0,0.0444444444444445
"family_pred","family_pred",750,0.11,0.14,0.14,0.86,0,0.0337078651685393
"family_pred","family_pred",750,0.12,0.14,0.14,0.86,0,0.0227272727272727
"family_pred","family_pred",750,0.13,0.14,0.032,0.121333333333333,0,0.0138697318007663
"family_pred","family_pred",750,0.14,0.14,0.032,0.121333333333333,0,0.0122480620155039
"family_pred","family_pred",750,0.15,0.14,0.032,0.121333333333333,0,0.0105882352941176
"family_pred","family_pred",750,0.16,0.14,0.032,0.121333333333333,0,0.00888888888888888
"family_pred","family_pred",750,0.17,0.14,0.032,0.121333333333333,0,0.00714859437751003
"family_pred","family_pred",750,0.18,0.14,0.032,0.121333333333333,0,0.00536585365853659
"family_pred","family_pred",750,0.19,0.14,0.032,0.121333333333333,0,0.00353909465020576
"family_pred","family_pred",750,0.2,0.14,0.032,0.121333333333333,0,0.00166666666666666
"family_pred","family_pred",750,0.21,0.14,0,0,0,0
"family_pred","family_pred",750,0.22,0.14,0,0,0,0
"family_pred","family_pred",750,0.23,0.14,0,0,0,0
"family_pred","family_pred",750,0.24,0.14,0,0,0,0
"family_pred","family_pred",750,0.25,0.14,0,0,0,0
"family_pred","family_pred",750,0.26,0.14,0,0,0,0
"family_pred","family_pred",750,0.27,0.14,0,0,0,0
"family_pred","family_pred",750,0.28,0.14,0,0,0,0
"family_pred","family_pred",750,0.29,0.14,0,0,0,0
"family_pred","family_pred",750,0.3,0.14,0,0,0,0
"family_pred","family_pred",750,0.31,0.14,0,0,0,0
"family_pred","family_pred",750,0.32,0.14,0,0,0,0
"family_pred","family_pred",750,0.33,0.14,0,0,0,0
"family_pred","family_pred",750,0.34,0.14,0,0,0,0
"family_pred","family_pred",750,0.35,0.14,0,0,0,0
"family_pred","family_pred",750,0.36,0.14,0,0,0,0
"family_pred","family_pred",750,0.37,0.14,0,0,0,0
"family_pred","family_pred",750,0.38,0.14,0,0,0,0
"family_pred","family_pred",750,0.39,0.14,0,0,0,0
"family_pred","family_pred",750,0.4,0.14,0,0,0,0
"family_pred","family_pred",750,0.41,0.14,0,0,0,0
"family_pred","family_pred",750,0.42,0.14,0,0,0,0
"family_pred","family_pred",750,0.43,0.14,0,0,0,0
"family_pred","family_pred",750,0.44,0.14,0,0,0,0
"family_pred","family_pred",750,0.45,0.14,0,0,0,0
"family_pred","family_pred",750,0.46,0.14,0,0,0,0
"family_pred","family_pred",750,0.47,0.14,0,0,0,0
"family_pred","family_pred",750,0.48,0.14,0,0,0,0
"family_pred","family_pred",750,0.49,0.14,0,0,0,0
"family_pred","family_pred",750,0.5,0.14,0,0,0,0
"marker_pred","marker_pred",750,0,0.14,0.14,0.86,0,0.14
"marker_pred","marker_pred",750,0.01,0.14,0.14,0.86,0,0.131313131313131
"marker_pred","marker_pred",750,0.02,0.14,0.14,0.86,0,0.122448979591837
"marker_pred","marker_pred",750,0.03,0.14,0.14,0.86,0,0.11340206185567
"marker_pred","marker_pred",750,0.04,0.14,0.14,0.86,0,0.104166666666667
"marker_pred","marker_pred",750,0.05,0.14,0.14,0.86,0,0.0947368421052632
"marker_pred","marker_pred",750,0.06,0.14,0.14,0.86,0,0.0851063829787234
"marker_pred","marker_pred",750,0.07,0.14,0.132,0.758666666666667,0,0.0748960573476702
"marker_pred","marker_pred",750,0.08,0.14,0.118666666666667,0.608,0,0.0657971014492754
"marker_pred","marker_pred",750,0.09,0.14,0.109333333333333,0.468,0,0.063047619047619
"marker_pred","marker_pred",750,0.1,0.14,0.104,0.374666666666667,0,0.0623703703703704
"marker_pred","marker_pred",750,0.11,0.14,0.0973333333333333,0.313333333333333,0,0.0586067415730337
"marker_pred","marker_pred",750,0.12,0.14,0.092,0.257333333333333,0,0.0569090909090909
"marker_pred","marker_pred",750,0.13,0.14,0.0906666666666667,0.226666666666667,0,0.0567969348659004
"marker_pred","marker_pred",750,0.14,0.14,0.0893333333333333,0.197333333333333,0,0.0572093023255814
"marker_pred","marker_pred",750,0.15,0.14,0.0786666666666667,0.181333333333333,0,0.0466666666666667
"marker_pred","marker_pred",750,0.16,0.14,0.0746666666666667,0.158666666666667,0,0.0444444444444444
"marker_pred","marker_pred",750,0.17,0.14,0.072,0.141333333333333,0,0.0430522088353414
"marker_pred","marker_pred",750,0.18,0.14,0.0613333333333333,0.12,0,0.0349918699186992
"marker_pred","marker_pred",750,0.19,0.14,0.06,0.110666666666667,0,0.0340411522633745
"marker_pred","marker_pred",750,0.2,0.14,0.0546666666666667,0.102666666666667,0,0.029
"marker_pred","marker_pred",750,0.21,0.14,0.052,0.101333333333333,0,0.0250632911392405
